ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ESCC055L1	0.140958328254881	0.34596013023342	0	0.00519891696240822	0.0298006481343012	0.137814247888825	0.00338363022453239	0.00884699192796745	0	0	0.0152972896002268	0	0	0.119467281657634	0.0531417071924798	0.0565029993766238	0	0	0	0.073448355419127	0	0.0101794731275742	0	0.495049032776869	0.868825407963105
ESCC055N	0.0535888433204222	0.416342918618599	0	0.0779474926413829	0	0.15416318903133	0	0.0315066572269737	0	0	0	0	0.0028690199117838	0	0.00842021875237499	0.0771166154020163	0	0.0131008959072726	0.127962162755713	0.0334101943532991	0	0.0035717920788326	0	0.504781689416584	0.862831346334254
ESCC055T1	0.0259825872339952	0.0292379261618419	0.173386493089821	0.0352446467315235	0	0.0250429885573517	0.0164548030029498	0.0334669056577859	0.00229938851735883	0	0.019232494227407	0.00595179979651227	0	0.048064640837057	0.0787127207660538	0.125200721958227	0	0.0759147349079839	0	0.26527536546838	0.0183988457484377	0.0221329373373128	0	0.288555212554572	0.981966742176982
ESCC055T2	0.00469302327440268	0.0218773534679311	0.0273040453588746	0.0735532365075956	0.0636435426878533	0.021296420851753	0.0266234556627408	0.0204711512257997	0	0	0	0.0331659145794881	0.0114422256938682	0.0192442752645283	0.125547683651508	0.135280267605489	0.0566880682481228	0.00141666629840503	0	0.354979952710049	0.00277271691159061	0	0.08	0.0942166089828568	1.09401689433679
ESCC055T3	0	0.0120688544146397	0.0588753826118151	0.0228134314974931	0.0529973737991551	0.0101904810792978	0.000864743579072358	0.0543336624659505	0	0	0	0.0410178154604195	0	0.00739185243776519	0.102147727255516	0.192011969881085	0	0.111894249779648	0	0.300310085580915	0.0254555179069517	0.00762685225027604	0.07	0.1088936149263	1.0765382784946
ESCC055T4	0.000735960778993373	0.0375104772997438	0.0779675999138954	0.0275507980529692	0.0580685586352592	0	0.0731113879207847	0.07309511446752	0	0.0181714280094532	0	0.0123834176276191	0	0.0250360013094473	0.122902745684223	0.0985051299883183	0.0286020238106256	0.0285700823382018	0	0.264905977413492	0.0158811619770036	0.0370021347724509	0.05	0.154645530823181	1.03961448597688
ESCC055T5	0	0.0200114522663255	0.0708712220414302	0.0391516373255968	0.00950408912664043	0.0366352816206703	0.0247354035376992	0.0280244376278815	0	0	0	0.0115263854991043	0	0.0349778637349774	0.0856374577970437	0.379442932010084	0	0.0649747032231339	0	0.16380684373523	0.00642232364585634	0.0242779668083265	0.0600000000000001	0.13282188543107	1.04332017608208
ESCC056L1	0.0160271275621614	0.242215899324718	0.0192702139626047	0.024015476389575	0	0.104533586076548	0	0.0510054375851169	0	0	0	0.0187410113336197	0.00742489668132649	0.028966960683094	0.023256743507374	0.180337661547463	0.0514433772283866	0.0224745282120995	0	0.20680571462812	0.0034813652777929	0	0	0.361626565807756	0.935474631325045
ESCC056N	0	0.0323376274924059	0.129578826681287	0.0859633350203791	0	0.203171306573566	0	0	0	0	0.0100337177252027	0.0106466014146019	0.0185864758282702	0	0	0.216002829090549	0.0567272304950109	0.0121249404487413	0.101835108644819	0.122992000585166	0	0	0.01	0.243915200777374	0.985291592942698
ESCC056T1	0	0.0449948637903125	0.0126205996439359	0.049234777516108	0	0.132688610037339	0	0.0785271482535787	0	0	0	0.00710047746784937	0.0154089037115901	0.188975176742628	0	0.0408178434510283	0	0.0886977033106059	0	0.313696962003393	0.0272369340716305	0	0.03	0.214446187906208	1.0207528432458
